admitted_candidate_count,admitted_transition_arc_count,binding_threat_ids,bombs_used,commitment_horizon_s,committed_instance_change_count,environment_dependent,executed_instance_change_count,flexible_instance_added_count,flexible_instance_removed_count,lead_time_s,parameter_type,parameter_value,served_level_1_count,served_level_2_count,served_level_3_count,total_path_length_m,total_served_count,total_turn_proxy_rad,transition_status
53,545,[],7,,,False,,,,40,available_prealert_lead_s,40,1,2,2,,5,,PASS
53,545,[],7,,,False,,,,45,available_prealert_lead_s,45,1,2,2,,5,,PASS
53,545,[],7,,,False,,,,47.5,available_prealert_lead_s,47.5,1,2,2,,5,,PASS
53,545,[],7,,,False,,,,50,available_prealert_lead_s,50,1,2,2,,5,,PASS
53,545,[],7,,,False,,,,55,available_prealert_lead_s,55,1,2,2,,5,,PASS
53,545,[],7,,,False,,,,60,available_prealert_lead_s,60,1,2,2,,5,,PASS
,,,5,0,0,False,0,2,1,,commitment_horizon_s,0,1,2,2,3061.484696269,5,4.801868099,
,,,5,5,0,False,0,2,1,,commitment_horizon_s,5,1,2,2,3061.484696269,5,4.801868099,
,,,5,8,0,False,0,2,1,,commitment_horizon_s,8,1,2,2,3061.484696269,5,4.801868099,
,,,5,12,0,False,0,2,1,,commitment_horizon_s,12,1,2,2,3061.484696269,5,4.801868099,
,,,5,20,0,False,0,2,1,,commitment_horizon_s,20,1,2,2,3061.484696269,5,4.801868099,
