scenario_id,arc_id,uav_id,predecessor_node,successor_node,departure_time_s,arrival_deadline_s,transition_distance_m,available_transition_time_s,transition_turn_proxy_rad,maximum_radius_along_transition_m,operating_radius_status
S2-CRI-OVR,UAV-1::N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1,T::UAV-1,53,53,0,0,0,2400,PASS
S2-CRI-OVR,UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1,0,42,680,42,0,2080,PASS
S2-CRI-OVR,UAV-2::N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2,T::UAV-2,50,50,0,0,0,2469.817807046,PASS
S2-CRI-OVR,UAV-2::S::UAV-2->N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2,0,36,588.727441181,36,2.412123025,1888.279640308,PASS
S2-CRI-OVR,UAV-4::N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M2::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M2::UAV-4,T::UAV-4,54.5,54.5,0,0,0,2647.640458975,PASS
S2-CRI-OVR,UAV-4::S::UAV-4->N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M2::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M2::UAV-4,0,43.5,947.048045244,43.5,0.757091191,2334.180798482,PASS
S2-CRI-SEQ,UAV-1::N::UAV-1::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M1::UAV-1,T::UAV-1,45,45,0,0,0,2400,PASS
S2-CRI-SEQ,UAV-1::N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1,T::UAV-1,45,45,0,0,0,2400,PASS
S2-CRI-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M1::UAV-1,0,34,680,34,0,2080,PASS
S2-CRI-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1,0,27,80,27,0,1480,PASS
S2-CRI-SEQ,UAV-2::N::UAV-2::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M3::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M3::UAV-2,T::UAV-2,83,83,0,0,0,2469.817807046,PASS
S2-CRI-SEQ,UAV-2::S::UAV-2->N::UAV-2::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M3::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M3::UAV-2,0,69,588.727441181,69,2.412123025,1888.279640308,PASS
S2-CRI-SEQ,UAV-3::N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3->T::UAV-3,UAV-3,N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3,T::UAV-3,89,89,0,0,0,2469.817807046,PASS
