scenario_label,minimum_availability_s,earliest_burst_s,necessary_threshold_s,full_defense_necessary_condition,guaranteed_initial_naked_duration_s
SYNTHETIC_SCENARIO_ONLY,0.0,5.5,-5.5,FAIL,5.5
SYNTHETIC_SCENARIO_ONLY,0.25,5.75,-5.5,FAIL,5.75
SYNTHETIC_SCENARIO_ONLY,0.5,6.0,-5.5,FAIL,6.0
SYNTHETIC_SCENARIO_ONLY,0.75,6.25,-5.5,FAIL,6.25
SYNTHETIC_SCENARIO_ONLY,1.0,6.5,-5.5,FAIL,6.5
SYNTHETIC_SCENARIO_ONLY,1.25,6.75,-5.5,FAIL,6.75
SYNTHETIC_SCENARIO_ONLY,1.5,7.0,-5.5,FAIL,7.0
SYNTHETIC_SCENARIO_ONLY,1.75,7.25,-5.5,FAIL,7.25
SYNTHETIC_SCENARIO_ONLY,2.0,7.5,-5.5,FAIL,7.5
SYNTHETIC_SCENARIO_ONLY,2.25,7.75,-5.5,FAIL,7.75
SYNTHETIC_SCENARIO_ONLY,2.5,8.0,-5.5,FAIL,8.0
SYNTHETIC_SCENARIO_ONLY,2.75,8.25,-5.5,FAIL,8.25
SYNTHETIC_SCENARIO_ONLY,3.0,8.5,-5.5,FAIL,8.5
