scenario_label,d_safe_m,feasible_candidate_count,pareto_count,representative_status,representative_candidate_id,ideal_point_id,knee_id,layered_id
SYNTHETIC_SCENARIO_ONLY,0.0,1440,182,DISAGREE_HUMAN_REQUIRED,,A-00829,A-00017,A-00217
SYNTHETIC_SCENARIO_ONLY,10.0,1364,172,DISAGREE_HUMAN_REQUIRED,,A-00925,A-00017,A-00217
SYNTHETIC_SCENARIO_ONLY,20.0,1288,158,DISAGREE_HUMAN_REQUIRED,,A-00925,A-00017,A-00217
SYNTHETIC_SCENARIO_ONLY,30.0,1216,144,DISAGREE_HUMAN_REQUIRED,,A-00523,A-00017,A-00217
SYNTHETIC_SCENARIO_ONLY,40.0,1132,130,DISAGREE_HUMAN_REQUIRED,,A-00523,A-00017,A-00217
SYNTHETIC_SCENARIO_ONLY,50.0,1068,120,DISAGREE_HUMAN_REQUIRED,,A-00523,A-00017,A-00233
SYNTHETIC_SCENARIO_ONLY,60.0,998,120,DISAGREE_HUMAN_REQUIRED,,A-00607,A-00017,A-00431
SYNTHETIC_SCENARIO_ONLY,70.0,942,110,DISAGREE_HUMAN_REQUIRED,,A-00607,A-00017,A-00445
SYNTHETIC_SCENARIO_ONLY,80.0,880,90,DISAGREE_HUMAN_REQUIRED,,A-00505,A-00017,A-00505
SYNTHETIC_SCENARIO_ONLY,90.0,568,84,DISAGREE_HUMAN_REQUIRED,,A-00505,A-00013,A-00505
SYNTHETIC_SCENARIO_ONLY,100.0,528,78,DISAGREE_HUMAN_REQUIRED,,A-00505,A-00013,A-00505
SYNTHETIC_SCENARIO_ONLY,110.0,512,76,DISAGREE_HUMAN_REQUIRED,,A-00307,A-00007,A-00307
SYNTHETIC_SCENARIO_ONLY,120.0,476,68,DISAGREE_HUMAN_REQUIRED,,A-00205,A-00007,A-00205
SYNTHETIC_SCENARIO_ONLY,130.0,458,68,DISAGREE_HUMAN_REQUIRED,,A-00205,A-00007,A-00205
SYNTHETIC_SCENARIO_ONLY,140.0,428,64,DISAGREE_HUMAN_REQUIRED,,A-00205,A-00007,A-00205
SYNTHETIC_SCENARIO_ONLY,150.0,404,64,DISAGREE_HUMAN_REQUIRED,,A-00103,A-00103,A-00199
