bearing_case_id,beta_rad,execution_status,coverage_window_s,coverage_status,bearing_effect_status
BETA-00,0.0,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-01,0.08726646259971647,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-02,0.17453292519943295,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-03,0.2617993877991494,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-04,0.3490658503988659,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-05,0.4363323129985824,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-06,0.5235987755982988,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-07,0.6108652381980153,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-08,0.6981317007977318,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-09,0.7853981633974483,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-10,0.8726646259971648,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-11,0.9599310885968813,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-12,1.0471975511965976,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-13,1.1344640137963142,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-14,1.2217304763960306,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-15,1.3089969389957472,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-16,1.3962634015954636,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-17,1.48352986419518,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-18,1.5707963267948966,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-19,1.658062789394613,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-20,1.7453292519943295,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-21,1.832595714594046,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-22,1.9198621771937625,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-23,2.007128639793479,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-24,2.0943951023931953,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-25,2.1816615649929116,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-26,2.2689280275926285,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-27,2.356194490192345,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-28,2.443460952792061,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-29,2.5307274153917776,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-30,2.6179938779914944,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-31,2.705260340591211,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-32,2.792526803190927,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-33,2.8797932657906435,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-34,2.96705972839036,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-35,3.0543261909900767,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
BETA-36,3.141592653589793,completed,25.36104262064107,verified_structural_invariance,structurally_invariant_under_current_G1_O0_synthetic_model
