rolling_event_id,endpoint_id,stage_id,stage_name,objective_sense,objective_definition,solver_status,feasible_incumbent_available,optimal_value,mip_gap,time_limit_s,runtime_s,locked_constraint,selected_candidate_ids,selected_arc_ids,served_threat_ids,resource_usage
S2-CRI-OVR@0.000,L,1,maximize_full_defence_level_3,maximize,sum y_m for threat_level=3,optimal,True,2,0,5,,"{""absolute_tolerance"":1e-07,""value"":2.0}","[""S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1::UAV-1"",""S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M4::UAV-5""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1::UAV-1"",""UAV-5::N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M4::UAV-5->T::UAV-5"",""UAV-5::S::UAV-5->N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M4::UAV-5""]","[""CRI-OVR-M1"",""CRI-OVR-M4""]",5
S2-CRI-OVR@0.000,L,2,minimize_served_reaction_time_level_3,minimize,sum y_m*(latest_feasible_command_time-current_time),optimal,True,95.5636,0,5,,"{""absolute_tolerance"":9.556360000000002e-07,""value"":95.56360000000001}","[""S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1"",""S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M4::UAV-4""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M1::UAV-1"",""UAV-4::N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M4::UAV-4->T::UAV-4"",""UAV-4::S::UAV-4->N::UAV-4::S2-CRI-OVR::T-Q1-SINGLE::CRI-OVR-M4::UAV-4""]","[""CRI-OVR-M1"",""CRI-OVR-M4""]",2
S2-CRI-OVR@0.000,L,3,maximize_full_defence_level_2,maximize,sum y_m for threat_level=2,optimal,True,2,0,5,,"{""absolute_tolerance"":1e-07,""value"":2.0}","[""S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2""]","[""UAV-2::N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2->T::UAV-2"",""UAV-2::S::UAV-2->N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",2
S2-CRI-OVR@0.000,L,4,minimize_served_reaction_time_level_2,minimize,sum y_m*(latest_feasible_command_time-current_time),optimal,True,97.0636,0,5,,"{""absolute_tolerance"":9.70636e-07,""value"":97.06360000000001}","[""S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5""]","[""UAV-5::N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5->T::UAV-5"",""UAV-5::S::UAV-5->N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",2
S2-CRI-OVR@0.000,L,5,maximize_full_defence_level_1,maximize,sum y_m for threat_level=1,optimal,True,1,0,5,,"{""absolute_tolerance"":1e-07,""value"":1.0}","[""S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5""]","[""UAV-5::N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5->T::UAV-5"",""UAV-5::S::UAV-5->N::UAV-5::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",2
S2-CRI-OVR@0.000,L,6,minimize_served_reaction_time_level_1,minimize,sum y_m*(latest_feasible_command_time-current_time),optimal,True,47.0318,0,5,,"{""absolute_tolerance"":4.7031800000000004e-07,""value"":47.031800000000004}","[""S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",3
S2-CRI-OVR@0.000,L,7,minimize_unserved_remaining_window_level_3,maximize,served-duration equivalent of lexicographic unserved-window minimization,optimal,True,16,0,5,,"{""absolute_tolerance"":1.6e-07,""value"":16.0}","[""S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",3
S2-CRI-OVR@0.000,L,8,minimize_unserved_remaining_window_level_2,maximize,served-duration equivalent of lexicographic unserved-window minimization,optimal,True,16,0,5,,"{""absolute_tolerance"":1.6e-07,""value"":16.0}","[""S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",3
S2-CRI-OVR@0.000,L,9,minimize_unserved_remaining_window_level_1,maximize,served-duration equivalent of lexicographic unserved-window minimization,optimal,True,8,0,5,,"{""absolute_tolerance"":1e-07,""value"":8.0}","[""S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""UAV-1::N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",3
S2-CRI-OVR@0.000,L,10,minimize_bombs_used_and_reserved,minimize,sum candidate total bombs,optimal,True,2,0,5,,"{""absolute_tolerance"":1e-07,""value"":2.0}","[""S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2""]","[""UAV-2::N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2->T::UAV-2"",""UAV-2::S::UAV-2->N::UAV-2::S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2""]","[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",2
