scenario_id,scenario_identity,method,complete_defence_count,threat_count,complete_defence_fraction,complete_defence_percent,served_level_3_count,served_level_2_count,served_level_1_count,total_full_defence_count,unserved_threat_ids,remaining_risk_vector,uncovered_window_total_s,unserved_window_s_level_3,unserved_window_s_level_2,unserved_window_s_level_1,bombs_used_total,bombs_used_per_uav,service_path_length_m,transition_path_length_m,total_path_length_m,service_turn_proxy_rad,transition_turn_proxy_rad,total_turn_proxy_rad,uav_utilization_fraction,plan_change_count,A_solver_time_s,B_time_s,validation_time_s,total_pipeline_time_s,runtime_measurement_scope,final_source,proof_status,solver_status,finite_candidate_optimality_status,fallback_triggered
S2-CRI-OVR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-A,5,5,1,100,2,2,1,5,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,2,"{""UAV-1"":0,""UAV-2"":2,""UAV-3"":0,""UAV-4"":0,""UAV-5"":0}",640,588.727441181,1228.727441181,0.3,2.412123025,2.712123025,0.2,1,0.0890964,,0.0000774,0.1293953,environment_dependent_wall_clock_experiment,Q4-A,proved_within_current_finite_network,optimal,proved_within_current_finite_network,False
S2-CRI-OVR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-B,2,5,0.4,40,1,1,0,2,"[""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]","{""level_1_unserved_window_s"":8.0,""level_2_unserved_window_s"":8.0,""level_3_unserved_window_s"":8.0}",24,8,8,8,2,"{""UAV-1"":1,""UAV-2"":0,""UAV-3"":0,""UAV-4"":1,""UAV-5"":0}",640,1627.048045244,2267.048045244,0.2,0.757091191,0.957091191,0.4,2,,0.0004927,0,0.1293943,environment_dependent_wall_clock_experiment,Q4-B,not_applicable_greedy_baseline,greedy_completed,not_applicable_greedy_baseline,False
S2-CRI-SEQ,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-A,5,5,1,100,2,2,1,5,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,7,"{""UAV-1"":3,""UAV-2"":0,""UAV-3"":3,""UAV-4"":1,""UAV-5"":0}",2160,1581.484696269,3741.484696269,1,4.151868099,5.151868099,0.6,3,0.8336556,,0.0003602,1.9286765,environment_dependent_wall_clock_experiment,Q4-A,proved_within_current_finite_network,optimal,proved_within_current_finite_network,False
S2-CRI-SEQ,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-B,5,5,1,100,2,2,1,5,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,9,"{""UAV-1"":1,""UAV-2"":2,""UAV-3"":3,""UAV-4"":1,""UAV-5"":2}",2840,3430.590816694,6270.590816694,1.25,7.681189755,8.931189755,1,5,,0.0022454,0,1.9286755,environment_dependent_wall_clock_experiment,Q4-B,not_applicable_greedy_baseline,greedy_completed,not_applicable_greedy_baseline,False
S2-CRI-SUR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-A,5,5,1,100,2,2,1,5,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,5,"{""UAV-1"":1,""UAV-2"":0,""UAV-3"":3,""UAV-4"":1,""UAV-5"":0}",1560,1501.484696269,3061.484696269,0.65,4.151868099,4.801868099,0.6,3,0.1803911,,0.000163,0.2497834,environment_dependent_wall_clock_experiment,Q4-A,proved_within_current_finite_network,optimal,proved_within_current_finite_network,False
S2-CRI-SUR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-B,5,5,1,100,2,2,1,5,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,6,"{""UAV-1"":1,""UAV-2"":2,""UAV-3"":0,""UAV-4"":1,""UAV-5"":2}",1920,2196.154165669,4116.154165669,0.8,4.286412846,5.086412846,0.8,4,,0.0007871,0,0.2745669,environment_dependent_wall_clock_experiment,Q4-B,not_applicable_greedy_baseline,greedy_completed,not_applicable_greedy_baseline,False
S2-SHO-OVR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-A,6,6,1,100,2,2,2,6,[],"{""level_1_unserved_window_s"":0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",0,0,0,0,2,"{""UAV-1"":0,""UAV-2"":2,""UAV-3"":0,""UAV-4"":0,""UAV-5"":0}",640,588.727441181,1228.727441181,0.3,2.412123025,2.712123025,0.2,1,0.0495181,,0.0000755,0.0954381,environment_dependent_wall_clock_experiment,Q4-A,proved_within_current_finite_network,optimal,proved_within_current_finite_network,False
S2-SHO-OVR,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-B,2,6,0.333333333,33.333333333,2,0,0,2,"[""SHO-OVR-M2"",""SHO-OVR-M3"",""SHO-OVR-M5"",""SHO-OVR-M6""]","{""level_1_unserved_window_s"":16.0,""level_2_unserved_window_s"":16.0,""level_3_unserved_window_s"":0}",32,0,16,16,2,"{""UAV-1"":1,""UAV-2"":0,""UAV-3"":0,""UAV-4"":1,""UAV-5"":0}",640,1627.048045244,2267.048045244,0.2,0.757091191,0.957091191,0.4,2,,0.000317,0,0.0954372,environment_dependent_wall_clock_experiment,Q4-B,not_applicable_greedy_baseline,greedy_completed,not_applicable_greedy_baseline,False
S2-SHO-SEQ,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-A,4,6,0.666666667,66.666666667,2,2,0,4,"[""SHO-SEQ-M3"",""SHO-SEQ-M6""]","{""level_1_unserved_window_s"":16.0,""level_2_unserved_window_s"":0,""level_3_unserved_window_s"":0}",16,0,0,16,5,"{""UAV-1"":2,""UAV-2"":2,""UAV-3"":0,""UAV-4"":1,""UAV-5"":0}",1600,2535.775486425,4135.775486425,0.6,9.452399523,10.052399523,0.6,4,0.3229304,,0.0003546,0.6162495,environment_dependent_wall_clock_experiment,Q4-A,proved_within_current_finite_network,optimal,proved_within_current_finite_network,False
S2-SHO-SEQ,Q4_S2_RECONSTRUCTED_SYNTHETIC,Q4-B,3,6,0.5,50,1,1,1,3,"[""SHO-SEQ-M4"",""SHO-SEQ-M5"",""SHO-SEQ-M6""]","{""level_1_unserved_window_s"":8.0,""level_2_unserved_window_s"":8.0,""level_3_unserved_window_s"":8.0}",24,8,8,8,4,"{""UAV-1"":1,""UAV-2"":2,""UAV-3"":0,""UAV-4"":1,""UAV-5"":0}",1280,2215.775486425,3495.775486425,0.5,3.169214216,3.669214216,0.6,3,,0.0015385,0,0.6162485,environment_dependent_wall_clock_experiment,Q4-B,not_applicable_greedy_baseline,greedy_completed,not_applicable_greedy_baseline,False
