plan_id,scenario_id,method_or_endpoint,maximum_bombs_used_by_one_uav,total_bombs_used,minimum_pairwise_distance_m,minimum_distance_time_s,minimum_distance_uav_pair,maximum_base_distance_m,temporal_conflict_count,transition_violation_count,reveal_violation_count,executed_action_change_count,committed_action_change_count,physical_action_duplicate_count,service_matrix_match,replay_status
S2-CRI-OVR::Q4-A,S2-CRI-OVR,Q4-A,2,2,inf,,,2469.817807046,0,0,0,0,0,0,True,PASS
S2-CRI-OVR::Q4-B,S2-CRI-OVR,Q4-B,1,2,32.656829146,42,"[""UAV-1"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SEQ::Q4-A,S2-CRI-SEQ,Q4-A,3,7,130.861922587,76.482371459,"[""UAV-3"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SEQ::Q4-B,S2-CRI-SEQ,Q4-B,3,9,91.209257381,54.464477278,"[""UAV-3"",""UAV-5""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SUR::Q4-A,S2-CRI-SUR,Q4-A,3,5,209.267883916,32.449352583,"[""UAV-3"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SUR::Q4-B,S2-CRI-SUR,Q4-B,2,6,91.531368444,23.020044999,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SHO-OVR::Q4-A,S2-SHO-OVR,Q4-A,2,2,inf,,,2469.817807046,0,0,0,0,0,0,True,PASS
S2-SHO-OVR::Q4-B,S2-SHO-OVR,Q4-B,1,2,91.64981083,42,"[""UAV-1"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SHO-SEQ::Q4-A,S2-SHO-SEQ,Q4-A,2,5,56.428571429,25,"[""UAV-1"",""UAV-2""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SHO-SEQ::Q4-B,S2-SHO-SEQ,Q4-B,2,4,151.074018754,29.227257678,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SHO-SUR::Q4-A,S2-SHO-SUR,Q4-A,2,4,239.556049726,26.16143265,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SHO-SUR::Q4-B,S2-SHO-SUR,Q4-B,2,4,91.531368444,23.020044999,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-OVR::Q4-A,S2-SUF-OVR,Q4-A,2,2,inf,,,2469.817807046,0,0,0,0,0,0,True,PASS
S2-SUF-OVR::Q4-B,S2-SUF-OVR,Q4-B,1,2,32.656829146,42,"[""UAV-1"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-SEQ::Q4-A,S2-SUF-SEQ,Q4-A,3,5,160.181087028,21.547072846,"[""UAV-1"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-SEQ::Q4-B,S2-SUF-SEQ,Q4-B,2,6,151.074018754,29.227257678,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-SUR::Q4-A,S2-SUF-SUR,Q4-A,3,5,209.267883916,32.449352583,"[""UAV-3"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-SUR::Q4-B,S2-SUF-SUR,Q4-B,2,6,132.529856732,22.021790502,"[""UAV-2"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SEQ::P1_L_RECONSTRUCTED,S2-CRI-SEQ,P1_L_RECONSTRUCTED,3,7,130.861922587,76.482371459,"[""UAV-3"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-CRI-SEQ::P1_T_RECONSTRUCTED,S2-CRI-SEQ,P1_T_RECONSTRUCTED,3,7,130.861922587,76.482371459,"[""UAV-3"",""UAV-4""]",2647.640458975,0,0,0,0,0,0,True,PASS
S2-SUF-OVR::P2_L_RECONSTRUCTED,S2-SUF-OVR,P2_L_RECONSTRUCTED,2,2,inf,,,2469.817807046,0,0,0,0,0,0,True,PASS
S2-SUF-OVR::P2_T_RECONSTRUCTED,S2-SUF-OVR,P2_T_RECONSTRUCTED,2,2,inf,,,2647.640458975,0,0,0,0,0,0,True,PASS
