candidate_id,physical_action_hash,physical_action_count,served_threat_ids,served_threat_count,per_threat_continuous_status,per_threat_independent_status,per_threat_minimum_margin,per_threat_uncovered_area,exact_event_identity_status,inventory_count_status,selected_in_plan_ids,audit_status
S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1,CB64A9BF39D90496B8842294CE2E8776A971B7F808CF5C74EC148691AD0D1D44,3,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":8.0,""CRI-OVR-M2"":9.5,""CRI-OVR-M3"":11.0,""CRI-OVR-M4"":9.5,""CRI-OVR-M5"":8.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q2-THREE::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-3,979837BB633392BC3433FBCDB7BC8E38B36586C4A6774994F69B2DCA5C5F8C61,3,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":8.0,""CRI-OVR-M2"":9.5,""CRI-OVR-M3"":11.0,""CRI-OVR-M4"":9.5,""CRI-OVR-M5"":8.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2,658FE1E81B8904B4507B41E8F031D30C510342B6307CB315F92BFD7345F2CBED,2,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":3.0,""CRI-OVR-M2"":4.5,""CRI-OVR-M3"":6.0,""CRI-OVR-M4"":4.5,""CRI-OVR-M5"":3.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,"[""S2-CRI-OVR::Q4-A""]",PASS
S2-CRI-OVR::T-Q2-TWO::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-5,E416C7E0511F408554BA2800BD3D06E70001F493A1B240A3A5988C25A0FE3199,2,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":3.0,""CRI-OVR-M2"":4.5,""CRI-OVR-M3"":6.0,""CRI-OVR-M4"":4.5,""CRI-OVR-M5"":3.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q3-P1::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3::UAV-1-UAV-2-UAV-3,617CC94CAA8D14B8CD8854EB321185191319F5EF327FB71D2815B6C5DC5A4EBC,3,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3""]",3,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS""}","{""CRI-OVR-M1"":0.5,""CRI-OVR-M2"":2.0,""CRI-OVR-M3"":0.5}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q3-P1::CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4::UAV-1-UAV-2-UAV-3,F4A87998E7A12A1DCA2FD2608AAB5C81CC9DA3E2C1C12E96AC19D8DF384D98B7,3,"[""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4""]",3,"{""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS""}","{""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS""}","{""CRI-OVR-M2"":0.5,""CRI-OVR-M3"":2.0,""CRI-OVR-M4"":0.5}","{""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q3-P1::CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-1-UAV-2-UAV-3,CED6DC1E1E18F8C752F2962ECB8994F59D90F47D1AA4132885819353A1EDBC87,3,"[""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",3,"{""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M3"":0.5,""CRI-OVR-M4"":2.0,""CRI-OVR-M5"":0.5}","{""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q3-P2::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-2-UAV-3-UAV-4,895D4162B385D4CC3D18C336892D519FFEC0E7B4752A4CDDA674F77B654E557F,3,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":3.0,""CRI-OVR-M2"":4.5,""CRI-OVR-M3"":6.0,""CRI-OVR-M4"":4.5,""CRI-OVR-M5"":3.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-OVR::T-Q3-P4::CRI-OVR-M1+CRI-OVR-M2+CRI-OVR-M3+CRI-OVR-M4+CRI-OVR-M5::UAV-3-UAV-4-UAV-5,5EE82BBBCA19F6BF5D6008347398E007875E1F4E58B626B4FCDADEE53C1BD4CC,3,"[""CRI-OVR-M1"",""CRI-OVR-M2"",""CRI-OVR-M3"",""CRI-OVR-M4"",""CRI-OVR-M5""]",5,"{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":""PASS"",""CRI-OVR-M2"":""PASS"",""CRI-OVR-M3"":""PASS"",""CRI-OVR-M4"":""PASS"",""CRI-OVR-M5"":""PASS""}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":1.5,""CRI-OVR-M3"":3.0,""CRI-OVR-M4"":1.5,""CRI-OVR-M5"":0.0}","{""CRI-OVR-M1"":0.0,""CRI-OVR-M2"":0.0,""CRI-OVR-M3"":0.0,""CRI-OVR-M4"":0.0,""CRI-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1,CB64A9BF39D90496B8842294CE2E8776A971B7F808CF5C74EC148691AD0D1D44,3,"[""CRI-SEQ-M1"",""CRI-SEQ-M2""]",2,"{""CRI-SEQ-M1"":""PASS"",""CRI-SEQ-M2"":""PASS""}","{""CRI-SEQ-M1"":""PASS"",""CRI-SEQ-M2"":""PASS""}","{""CRI-SEQ-M1"":0.0,""CRI-SEQ-M2"":0.0}","{""CRI-SEQ-M1"":0.0,""CRI-SEQ-M2"":0.0}",PASS,PASS,"[""S2-CRI-SEQ::P1_L_RECONSTRUCTED"",""S2-CRI-SEQ::P1_T_RECONSTRUCTED"",""S2-CRI-SEQ::Q4-A""]",PASS
